VIN,Year,make-id,model-id,lat,lng,accuracy,dealership-id,log_entry_dt,last_scan_dt
WP1AA2A22JKA03659,2018,49,722,38.899599,-77.461515,3,285,"2020-06-08 21:57:50","2020-06-08 21:57:28"
WP1AE2A26CLA93142,2012,49,722,29.783236,-95.744123,13,345,"2020-06-08 21:23:47","2020-06-08 21:23:45"
WP1AA2A5XLLB09221,2020,49,719,34.820813,-82.335212,0,114,"2020-06-08 19:19:51","2020-06-08 19:19:32"
WP1AA2A50LLB09227,2020,49,719,34.820813,-82.335212,0,114,"2020-06-08 19:18:55","2020-06-08 19:18:50"
WP1AA2A51LLB09379,2020,49,719,34.820813,-82.335212,0,114,"2020-06-08 19:18:28","2020-06-08 19:18:22"
WP0AB2A97GS122912,2016,49,717,29.784219,-95.724625,3,193,"2020-06-08 18:50:22","2020-06-08 18:50:20"
WP0CB29887U730477,2007,49,716,32.313416,-80.983059,12,454,"2020-06-08 13:10:10","2020-06-08 13:10:10"
WP1AC29P38LA94472,2008,49,722,32.313452,-80.983044,17,454,"2020-06-08 13:08:37","2020-06-08 13:08:37"
WP1AA2A59JLB24970,2018,49,719,33.615182,-117.899982,4,213,"2020-06-05 22:35:33","2020-06-05 22:35:28"
WP1AA2A58JLB25267,2018,49,719,33.615239,-117.899828,3,213,"2020-06-05 22:26:51","2020-06-05 22:26:44"
WP1AA2A25HKA86059,2017,49,722,33.615246,-117.899780,5,213,"2020-06-05 22:26:12","2020-06-05 22:26:02"
WP1AA2A5XJLB25318,2018,49,719,33.615282,-117.899739,3,213,"2020-06-05 22:25:58","2020-06-05 22:25:46"
WP1AA2A54HLB00232,2017,49,719,38.796544,-90.589936,10,301,"2020-06-05 16:24:51","2020-06-05 16:42:35"
WP1AA2A25GKA13224,2016,49,722,39.925346,-86.229601,3,204,"2020-06-05 15:30:02","2020-06-05 15:29:35"
WP1AG2A59HLB54169,2017,49,719,42.131942,-88.132658,0,57,"2020-06-03 16:52:03","2020-06-05 17:28:20"
WP0AA2A99FS106390,2015,49,717,41.219414,-73.725625,3,108,"2020-06-03 13:57:31","2020-06-03 13:57:29"
WP1AA2A58JLB00692,2018,49,719,32.313161,-80.983272,19,454,"2020-06-03 13:44:15","2020-06-03 13:44:12"
WP1AB2A55HLB13147,2017,49,719,40.971456,-74.081705,0,100,"2020-06-03 13:38:17","2020-06-06 17:13:39"
WP0AE2A77JL129818,2018,49,715,32.313132,-80.983022,15,454,"2020-06-02 12:09:01","2020-06-02 12:09:00"
WP1AA2A22HKA89324,2017,49,722,42.131810,-88.132754,0,57,"2020-06-01 18:28:30","2020-06-03 13:21:05"
WP1AE2A20HLA72343,2017,49,722,42.131884,-88.132813,0,57,"2020-06-01 17:32:59","2020-06-02 19:25:33"
WP1AF2A22FLA37698,2015,49,722,42.131476,-88.132712,0,57,"2020-06-01 17:03:02","2020-06-03 20:12:52"
WP1AC2A21GLA88894,2016,49,722,42.131903,-88.132826,0,57,"2020-06-01 15:57:16","2020-06-02 15:25:42"
WP0AA2A86KS260914,2019,49,720,32.313117,-80.983047,14,454,"2020-06-01 12:11:43","2020-06-01 12:11:44"
WP1AA2A20HKA81643,2017,49,722,42.129586,-88.133804,0,57,"2020-05-30 16:21:28","2020-06-01 19:45:50"
WP1AE2A22HLA73896,2017,49,722,42.131670,-88.132734,0,57,"2020-05-30 16:15:52","2020-06-02 15:43:42"
WP1AE2A21HLA71007,2017,49,722,42.131923,-88.132627,0,57,"2020-05-30 16:11:11","2020-06-02 15:26:09"
WP0AB2A88HS285304,2017,49,723,42.129529,-88.133796,0,57,"2020-05-29 15:17:33","2020-05-30 18:15:33"
WP0AC2A71GL070201,2016,49,715,32.313279,-80.983218,17,454,"2020-05-29 12:49:37","2020-05-29 12:49:36"
WP1AF2A50HLB61448,2017,49,719,42.131865,-88.132753,0,57,"2020-05-28 20:20:28","2020-05-29 18:09:24"
WP0AB2A74LL140691,2020,49,715,41.273979,-75.805161,3,395,"2020-05-28 15:51:52","2020-05-28 15:51:51"
WP0AA2A80JK260339,2018,49,720,41.273988,-75.805122,3,395,"2020-05-28 15:51:10","2020-05-28 15:51:09"
WP0AA2A83HS270826,2017,49,723,41.274050,-75.805002,3,395,"2020-05-28 15:50:09","2020-05-28 15:50:07"
WP1AB2A56HLB12864,2017,49,719,42.132005,-88.130417,65,57,"2020-05-27 18:57:11","2020-05-28 14:52:45"
WP1AE2AY2LDA22180,2020,49,722,32.324677,-80.934235,0,197,"2020-05-27 13:22:45","2020-05-27 13:22:29"
WP0AA2A70LL103155,2020,49,715,32.324637,-80.934301,0,197,"2020-05-27 13:21:01","2020-05-27 13:20:46"
WP1AB2A5XLLB36254,2020,49,719,32.324594,-80.934303,0,197,"2020-05-27 13:19:35","2020-05-27 13:19:13"
WP1AB2A54LLB36279,2020,49,719,32.324589,-80.934285,0,197,"2020-05-27 13:17:55","2020-05-27 13:17:41"
WP0AA2A92LS206424,2020,49,717,32.324599,-80.934285,0,197,"2020-05-27 13:16:24","2020-05-27 13:16:05"
WP0AA2A73LL103294,2020,49,715,29.129484,-82.207266,3,292,"2020-05-27 12:45:33","2020-05-27 12:44:23"
WP1AA2A59HLB07564,2017,49,719,32.313181,-80.983090,32,454,"2020-05-27 12:32:02","2020-05-27 12:32:01"
WP1AB2A27HLA51644,2017,49,722,42.129455,-88.133827,0,57,"2020-05-26 14:26:20","2020-05-26 20:05:26"
WP0CA2A95HS142136,2017,49,717,42.131743,-88.132729,0,57,"2020-05-26 14:18:24","2020-05-27 13:13:04"
WP1AE2A26HLA71648,2017,49,722,42.131837,-88.132804,0,57,"2020-05-26 14:13:08","2020-05-27 13:38:17"
WP1AA2A57JLB03180,2018,49,719,42.131614,-88.132871,0,57,"2020-05-26 13:08:57","2020-05-26 17:58:03"
WP1AA2AY2KDA15305,2019,49,722,42.131926,-88.132846,0,57,"2020-05-23 21:04:55","2020-05-26 17:34:46"
WP1AF2A53HLB61282,2017,49,719,42.131800,-88.132806,0,57,"2020-05-22 16:17:17","2020-05-22 20:38:35"
WP1AA2A24HKA86991,2017,49,722,42.131800,-88.132774,0,57,"2020-05-22 14:59:24","2020-05-22 20:31:27"
WP0AC2A91JS174122,2018,49,717,42.129603,-88.133783,0,57,"2020-05-21 16:36:46","2020-05-21 20:00:45"
WP0AF2A73KL145271,2019,49,715,42.129545,-88.133846,0,57,"2020-05-21 12:56:20","2020-05-21 20:24:41"
WP0CB2A98LS262647,2020,49,717,33.015838,-96.826192,13,429,"2020-05-20 19:53:26","2020-05-20 19:53:26"
WP0AB2A95KS114977,2019,49,717,33.015838,-96.826192,12,429,"2020-05-20 19:53:20","2020-05-20 19:53:19"
WP0AA2A72KL102247,2019,49,715,33.015838,-96.826194,12,429,"2020-05-20 19:52:58","2020-05-20 19:52:58"
WP0AE2A72LL130734,2020,49,715,33.015837,-96.826194,11,429,"2020-05-20 19:52:50","2020-05-20 19:52:49"
WP1AA2AYXLDA03999,2020,49,722,33.015839,-96.826201,12,429,"2020-05-20 19:52:38","2020-05-20 19:52:37"
WP1AB2A5XLLB30888,2020,49,719,33.015790,-96.826163,6,429,"2020-05-20 19:52:22","2020-05-20 19:52:21"
WP0CD2A90KS144889,2019,49,717,33.015907,-96.826061,6,429,"2020-05-20 19:52:08","2020-05-20 19:52:08"
WP0AB2A87KS278478,2019,49,720,33.015907,-96.826060,8,429,"2020-05-20 19:51:58","2020-05-20 19:51:58"
WP0CA2A82KS211072,2019,49,720,33.015844,-96.826067,11,429,"2020-05-20 19:51:45","2020-05-20 19:51:45"
WP0AA2A96LS205244,2020,49,717,33.015868,-96.826007,3,429,"2020-05-20 19:51:25","2020-05-20 19:51:24"
WP0CA2A84KS211333,2019,49,720,33.015856,-96.826030,3,429,"2020-05-20 19:51:19","2020-05-20 19:51:19"
WP1AB2A56LLB34372,2020,49,719,33.015851,-96.826091,3,429,"2020-05-20 19:51:11","2020-05-20 19:51:11"
WP1AA2A52LLB04871,2020,49,719,33.015886,-96.826120,3,429,"2020-05-20 19:51:04","2020-05-20 19:51:03"
WP1AE2AYXLDA22170,2020,49,722,33.015880,-96.826157,3,429,"2020-05-20 19:50:55","2020-05-20 19:50:55"
WP1AA2AY8LDA06433,2020,49,722,33.015176,-96.826494,3,429,"2020-05-20 18:36:18","2020-05-20 18:36:48"
WP1AA2AYXLDA05056,2020,49,722,33.015214,-96.826503,3,429,"2020-05-20 18:36:06","2020-05-20 18:36:06"
WP1AE2AYXLDA22105,2020,49,722,33.015239,-96.826544,3,429,"2020-05-20 18:34:22","2020-05-20 18:34:22"
WP1AA2AY9LDA05131,2020,49,722,33.015251,-96.826540,3,429,"2020-05-20 18:31:56","2020-05-20 18:34:13"
WP1AB2AY6LDA28136,2020,49,722,33.015277,-96.826514,3,429,"2020-05-20 18:31:50","2020-05-20 18:31:49"
WP1AA2AY1LDA05981,2020,49,722,33.015296,-96.826505,3,429,"2020-05-20 18:31:44","2020-05-20 18:31:43"
WP1AB2AY3LDA27090,2020,49,722,33.015326,-96.826499,3,429,"2020-05-20 18:31:36","2020-05-20 18:31:36"
WP1AB2AYXLDA28074,2020,49,722,33.015351,-96.826479,3,429,"2020-05-20 18:31:31","2020-05-20 18:31:29"
WP1AA2AY0LDA05230,2020,49,722,33.015385,-96.826485,3,429,"2020-05-20 18:31:23","2020-05-20 18:31:23"
WP1AA2AY3LDA05626,2020,49,722,33.015407,-96.826487,3,429,"2020-05-20 18:31:16","2020-05-20 18:31:15"
